service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NCT:PB0002362:26:1:84,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:85,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:86,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:87,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:88,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:89,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:90,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:91,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:92,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:93,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:94,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:95,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:96,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:97,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:98,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:99,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:100,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:101,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:102,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:103,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:104,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:105,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:106,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:107,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:108,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:109,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:110,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:111,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:112,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:113,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:114,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:115,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:116,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:117,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:118,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:119,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:120,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:121,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:122,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:123,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:124,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:125,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:126,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:127,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:128,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:129,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:130,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:131,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:132,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:133,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:134,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:135,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:136,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:137,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:138,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:139,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:140,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:141,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:142,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:143,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:144,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:145,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:146,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:147,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:148,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:149,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:150,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:151,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:152,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:153,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:154,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:155,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:156,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:157,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:158,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:159,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:160,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:161,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:162,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:163,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:164,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:165,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:166,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:167,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:168,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:169,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:170,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:171,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:172,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:173,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:174,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:175,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:176,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:177,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:178,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:179,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:180,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:181,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:182,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:183,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:184,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:185,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:186,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:187,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:188,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:189,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:190,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:191,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:192,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:193,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:194,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:195,0,0,0,0,0,1,0,20251124,20251213
