stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3390WI06,,"Wilford Green",,52.9255727,-1.1588862,,,0,,,0
3390WI07,,"Clifton Bridge South",,52.9213219,-1.1667478,,,0,,,0
3390WI08,,"Clifton Bridge South",,52.9216546,-1.1667563,,,0,,,0
3390WI09,,"Wilford Green",,52.9258285,-1.1594763,,,0,,,0
3390WI34,,"Harvester PH",,52.925592,-1.161544,,,0,,,0
3390WI35,,"Harvester PH",,52.925799,-1.161629,,,0,,,0
3390WI36,,"Wilford Lane Tram Stop",,52.9256013,-1.1552963,,,0,,,0
3300RU0001,,"Balmoral Avenue",,52.933816,-1.136275,,,0,,,0
3300RU0004,,"County Hall",,52.936425,-1.13431,,,0,,,0
3300RU0022,,"Queensbury Avenue",,52.913915,-1.145233,,,0,,,0
3300RU0030,,"Greythorn Drive Top",,52.911978,-1.144814,,,0,,,0
3300RU0032,,"Queensbury Avenue",,52.913618,-1.145332,,,0,,,0
3300RU0033,,"Laughton Avenue",,52.916134,-1.145119,,,0,,,0
3300RU0034,,"Stowe Avenue",,52.921985,-1.141196,,,0,,,0
3300RU0035,,"Stowe Avenue",,52.921944,-1.141717,,,0,,,0
3300RU0036,,"Burnside Road",,52.922082,-1.138501,,,0,,,0
3300RU0037,,"Burnside Road",,52.922275,-1.137828,,,0,,,0
3300RU0039,,"Greythorn Drive Top",,52.911743,-1.144521,,,0,,,0
3300RU0071,,"Loughborough Rd, ASDA",,52.924219,-1.136882,,,0,,,0
3300RU0073,,"Chaworth Road",,52.925973,-1.138313,,,0,,,0
3300RU0110,,"Victoria Road",,52.931504,-1.137332,,,0,,,0
3300RU0111,,"Victoria Road",,52.930965,-1.137373,,,0,,,0
3300RU0112,,"Chestnut Grove",,52.928703,-1.13782,,,0,,,0
3300RU0113,,"Chestnut Grove",,52.928531,-1.137689,,,0,,,0
3300RU0114,,"Chaworth Road",,52.925954,-1.138068,,,0,,,0
3300RU0150,,"Kirk Lane, Sycamore Close",,52.8917434,-1.1449596,,,0,,,0
3300RU0151,,"Loughboro' Rd, Ashworth Av",,52.897646,-1.141491,,,0,,,0
3300RU0152,,"Ashworth Avenue",,52.896896,-1.141469,,,0,,,0
3300RU0153,,"Flawforth Lane",,52.891456,-1.142572,,,0,,,0
3300RU0154,,"Flawforth Lane",,52.891189,-1.14286,,,0,,,0
3300RU0158,,"Rushcliffe Country Park",,52.8843594,-1.1444955,,,0,,,0
